occurrence_id	work	language	match	short_context	ai_decision	confidence	reason_code	review_note
balzac-illusions-perdues-9cb924ac8bb1b1a6	balzac-illusions-perdues	fr	je vous aime	—Si je laissais à mon fils la liberté de mettre la main à mes lèvres, au bord de ma caisse, il la plongerait jusqu'au fond de mes entrailles!... s'écria-t-il. Les enfants mangent tous à même dans la bourse paternelle. Et comment ai-je fait, moi? Je n'ai jamais coûté un liard à mes parents. Votre imprimerie est vide. Les souris et les rats sont seuls à y faire des impressions... Vous êtes belle, vous, je vous aime; vous êtes une femme travailleuse et soigneuse. Mais mon fils!... Savez-vous ce qu'est David?... Eh! bien, c'est un fainéant de savant. Si je l'avais _lairré_ comme on m'a _lairré_, sans se connaître aux lettres, et que j'en eusse fait un _ours_, comme son père, il aurait des rentes... Oh! c'est ma croix, ce garçon-là, voyez-vous! Et, par malheur, il est bien unique, car sa _retiration_ n'existera jamais! Enfin il vous rend malheureuse... (Ève protesta par un geste de dénégation absolue.)—Oui, reprit-il en répondant à ce geste, vous avez été obligée de prendre une nourrice, le chagrin vous a tari votre lait. Je sais tout, allez! vous êtes au tribunal et tambourinés par la ville. Je n'étais qu'un _ours_, je ne suis pas savant, je n'ai pas été prote chez messieurs Didot, la gloire de la typographie; mais jamais je n'ai reçu de papier timbré! Savez-vous ce que je me dis en allant dans mes vignes, les soignant et récoltant, et faisant mes petites affaires?... Je me dis:—Mon pauvre vieux,	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « je vous aime » explicitly realizes aimer with first-person singular experiencer « je » and second-person target « vous ».
balzac-illusions-perdues-dcdfed01372002fe	balzac-illusions-perdues	fr	Je vous aime	—Je ne suis pas si savante, répondit Ève en souriant. Je vous aime bien...	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « Je vous aime bien » explicitly realizes aimer with a first-person singular experiencer (« je ») and second-person target (« vous »).
balzac-illusions-perdues-fe02b218ca608edb	balzac-illusions-perdues	fr	Je t'aimerais	—Je t'aimerais laid et malade! dit-elle à l'oreille de Lucien en se mettant à table.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	« Je t’aimerais laid et malade » explicitly realizes aimer with first-person singular experiencer « je » and second-person object/target « te ».
balzac-illusions-perdues-fea9b48ae4e48717	balzac-illusions-perdues	fr	Je vous aime	—Qu'il se trouve derrière toutes vos belles qualités une force _semper virens_, dit le prêtre en tenant à montrer qu'il savait un peu de latin, et rien ne vous résistera dans le monde. Je vous aime assez déjà...	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	« Je vous aime assez déjà » explicitly realizes aimer with first-person singular experiencer « je » and second-person target « vous ».
bronte-jane-eyre-8d223e8c973ddc84	bronte-jane-eyre	en	I love you	Of course, she knew her power: indeed, he did not, because he could not, conceal it from her. In spite of his Christian stoicism, when she went up and addressed him, and smiled gaily, encouragingly, even fondly in his face, his hand would tremble and his eye burn. He seemed to say, with his sad and resolute look, if he did not say it with his lips, “I love you, and I know you prefer me. It is not despair of success that keeps me dumb. If I offered my heart, I believe you would accept it. But that heart is already laid on a sacred altar: the fire is arranged round it. It will soon be no more than a sacrifice consumed.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The quoted thought explicitly contains transitive “I love you,” with a first-person singular experiencer and second-person target.
bronte-jane-eyre-a880a1f99d9b190d	bronte-jane-eyre	en	I loved _you;_	“I am not deceitful: if I were, I should say I loved _you;_ but I declare I do not love you: I dislike you the worst of anybody in the world except John Reed; and this book about the liar, you may give to your girl, Georgiana, for it is she who tells lies, and not I.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The embedded counterfactual clause “I should say I loved you” explicitly realizes first-person singular as experiencer and second-person as the target of love; hypothetical status does not affect membership.
bronte-tenant-of-wildfell-hall-0e20a0f36fe0556a	bronte-tenant-of-wildfell-hall	en	I would love you	“But to tell you the truth, Mr. Boarham, it is on my own account I principally object; so let us—drop the subject,” I would have said, “for it is worse than useless to pursue it any further,” but he pertinaciously interrupted me with,—“But why so? I would love you, cherish you, protect you,” &c., &c.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	In Mr. Boarham’s quoted speech, “I” is the experiencer and direct-object “you” is the target of the lexical love verb.
bronte-tenant-of-wildfell-hall-14275eeb09f3d72c	bronte-tenant-of-wildfell-hall	en	I’ll love you	He laughed. I squeezed him in my arms again, and cried in tearful earnest, “Do, do persevere! and I’ll love you better than ever I did before!”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	“I’ll love you better than ever” explicitly realizes first-person singular as experiencer and second person as the target of love.
bronte-tenant-of-wildfell-hall-71677da4941ea07e	bronte-tenant-of-wildfell-hall	en	I love you	“Never again, Helen? just when I love you more than ever.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The clause explicitly realizes first-person singular experiencer “I” loving second-person target “you”; “more than ever” modifies degree/temporality without altering the love sense.
bronte-tenant-of-wildfell-hall-75ee1aa31adc6201	bronte-tenant-of-wildfell-hall	en	I loved _you_	“But how can I believe that you love me, if you continue to act in this way? Just imagine yourself in my place: would _you_ think I loved _you_, if _I_ did so? Would you believe my protestations, and honour and trust me under such circumstances?”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The hypothetical embedded clause “I loved you” explicitly realizes first-person singular as experiencer and second-person as the target of love.
bronte-tenant-of-wildfell-hall-f2fa9760d2985024	bronte-tenant-of-wildfell-hall	en	Do I love you	“Do I love you!” cried he.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The direct interrogative “Do I love you!” explicitly realizes first-person singular as experiencer and second person as the target of love.
dumas-fils-la-dame-aux-camelias-28a4d9a3e7cd3e10	dumas-fils-la-dame-aux-camelias	fr	je vous aime	--Parce que je vous aime, pardieu!	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « je vous aime » explicitly realizes aimer with first-person singular experiencer « je » and second-person target « vous ».
dumas-fils-la-dame-aux-camelias-2f8802c0eee447aa	dumas-fils-la-dame-aux-camelias	fr	je t'aime	--Ah! mon dieu! je m'en doutais, dit-elle. Quand Joseph est venu nous annoncer l'arrivée de ton père, j'ai tressailli comme à la nouvelle d'un malheur. Pauvre ami! et c'est moi qui te cause tous ces chagrins. Tu ferais peut-être mieux de me quitter que de te brouiller avec ton père. Cependant je ne lui ai rien fait. Nous vivons bien tranquilles, nous allons vivre plus tranquilles encore. Il sait bien qu'il faut que tu aies une maîtresse, et il devrait être heureux que ce fût moi, puisque je t'aime et n'ambitionne pas plus que ta position ne le permet. Lui as-tu dit comment nous avons arrangé l'avenir?	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « je t’aime » explicitly realizes first-person singular aimer with the second-person object « t’ » as the loved target.
dumas-fils-la-dame-aux-camelias-30f4d3add98b26eb	dumas-fils-la-dame-aux-camelias	fr	je vous aimerai	--Eh bien, si vous me promettez de faire toutes mes volontés sans dire un mot, sans me faire une observation, sans me questionner, je vous aimerai peut-être.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « je vous aimerai peut-être » explicitly realizes first-person singular aimer with second-person vous as the loved target; conditional framing and « peut-être » do not affect membership.
dumas-fils-la-dame-aux-camelias-3eef224dc85adf28	dumas-fils-la-dame-aux-camelias	fr	je t'aime	--Non, il faut seulement que tu m'aimes comme je t'aime, et tout réussira.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	« je t'aime » explicitly realizes aimer with first-person singular experiencer « je » and second-person target « t' ».
dumas-fils-la-dame-aux-camelias-417d894a2254fd54	dumas-fils-la-dame-aux-camelias	fr	je vous aimais	«Je pleurais silencieusement, mon ami, devant toutes ces réflexions que j'avais faites bien souvent, et qui, dans la bouche de votre père, acquéraient encore une plus sérieuse réalité. Je me disais tout ce que votre père n'osait pas me dire, et ce qui vingt fois lui était venu sur les lèvres: que je n'étais après tout qu'une fille entretenue, et que quelque raison que je donnasse à notre liaison, elle aurait toujours l'air d'un calcul; que ma vie passée ne me laissait aucun droit de rêver un pareil avenir, et que j'acceptais des responsabilités auxquelles mes habitudes et ma réputation ne donnaient aucune garantie. Enfin, je vous aimais, Armand. La manière paternelle dont me parlait M. Duval, les chastes sentiments qu'il évoquait en moi, l'estime de ce vieillard loyal que j'allais conquérir, la vôtre que j'étais sûre d'avoir plus tard, tout cela éveillait en mon cœur de nobles pensées qui me relevaient à mes propres yeux, et faisaient parler de saintes vanités, inconnues jusqu'alors. Quand je songeais qu'un jour ce vieillard, qui m'implorait pour l'avenir de son fils, dirait à sa fille de mêler mon nom à ses prières, comme le nom d'une mystérieuse amie, je me transformais et j'étais fière de moi.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	«Enfin, je vous aimais, Armand» explicitly realizes aimer with first-person singular experiencer «je» and second-person target «vous».
dumas-fils-la-dame-aux-camelias-49b1c079187b0c98	dumas-fils-la-dame-aux-camelias	fr	je t'ai aimé	«Quand il est mort, j'ai plus pleuré qu'à la mort de ma mère. Il est vrai qu'elle m'avait battue pendant douze ans de sa vie. Eh bien, je t'ai aimé tout de suite autant que mon chien. Si les hommes savaient ce qu'on peut avoir avec une larme, ils seraient plus aimés et nous serions moins ruineuses.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French «je t'ai aimé» explicitly realizes first-person singular experiencer «je» loving the second-person target «t'»; «tout de suite autant que mon chien» does not alter that syntax or love sense.
dumas-fils-la-dame-aux-camelias-8b4ecac624eee413	dumas-fils-la-dame-aux-camelias	fr	je vous aime	--Que voulez-vous, Marguerite, je vous aime trop, et je suis jaloux de la moindre de vos pensées. Ce que vous m'avez proposé tout à l'heure me rendrait fou de joie, mais le mystère qui précède l'exécution de ce projet me serre le cœur.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	« Je vous aime trop » explicitly uses first-person singular « je » as the experiencer and second-person « vous » as the direct target of aimer in its love sense.
dumas-fils-la-dame-aux-camelias-cd75106c36aac64a	dumas-fils-la-dame-aux-camelias	fr	je vous aime	--C'est juste, dis-je en laissant tomber ma tête sur les genoux de Marguerite; mais moi je vous aime comme un fou.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	« Moi je vous aime comme un fou » explicitly uses first-person singular experiencer je with second-person target vous in the love sense of aimer.
dumas-fils-la-dame-aux-camelias-ec6992c7f9430c90	dumas-fils-la-dame-aux-camelias	fr	je vous aimais	«Quoi qu'il arrive, je vous aimais bien, Armand, et je serais morte depuis longtemps si je n'avais pour m'assister le souvenir de cet amour, et comme un vague espoir de vous revoir encore près de moi.»	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French «je vous aimais bien, Armand» explicitly realizes first-person singular experiencer aimer with second-person vous as the loved target.
dumas-fils-la-dame-aux-camelias-f4ed9ebfe1dde635	dumas-fils-la-dame-aux-camelias	fr	je ne t'aime pas	--Eh bien, fais-le pour moi, car je te jure que, moi, je ne t'aime pas comme les autres t'aimaient.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The explicit French negative construction « je ne t’aime pas » realizes first-person singular experiencer « je » loving second-person target « t’ »; negation does not affect membership.
eliot-middlemarch-da9a5c10fa10ae23	eliot-middlemarch	en	I did love you	“If I did love you, I would not marry you: I would certainly not promise ever to marry you.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The conditional clause explicitly realizes first-person experiencer “I” with love directed at second-person target “you”; hypothetical status does not affect membership.
eliot-middlemarch-dfd8012ac3e53026	eliot-middlemarch	en	I did love you	“On the contrary, I think it would be wicked in me to marry you even if I did love you.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The conditional clause explicitly realizes first-person singular “I” as experiencer and second-person “you” as the direct target of “love”; hypothetical status does not affect membership.
flaubert-madame-bovary-a6b28fb94009e312	flaubert-madame-bovary	fr	je t’aimerai	— Est-ce de t’en aller? reprit-elle, de quitter tes affections, ta vie? Ah! je comprends... Mais, moi, je n’ai rien au monde! tu es tout pour moi. Aussi je serai tout pour toi, je te serai une famille, une patrie; je te soignerai, je t’aimerai.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « je t’aimerai » explicitly realizes future aimer with first-person singular experiencer « je » and second-person target « t’ ».
flaubert-madame-bovary-baeec739adc7a033	flaubert-madame-bovary	fr	je t’aimerai	— Va! essaye! il le faut! cours!... Oh! tâche! tâche! je t’aimerai bien!	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « je t’aimerai bien » explicitly realizes future aimer with first-person singular experiencer « je » and second-person object/target « t’ ».
fontane-effi-briest-c7ff9203e5f845d0	fontane-effi-briest	de	Ich liebe dich	Effi nahm seine Hand. »Wie gut du bist, Geert, und wie nachsichtig. Denn ich muß dir ja kindisch oder doch wenigstens sehr kindlich vorgekommen sein; erst das mit meiner Angst und dann hinterher, daß ich dir einen Hausverkauf, und was noch schlimmer ist, das mit dem Fürsten ansinne. Du sollst ihm den Stuhl vor die Tür setzen - es ist zum Lachen. Denn schließlich ist er doch der Mann, der über uns entscheidet. Auch über mich. Du glaubst gar nicht, wie ehrgeizig ich bin. Ich habe dich eigentlich bloß aus Ehrgeiz geheiratet. Aber du mußt nicht solch ernstes Gesicht dabei machen. Ich liebe dich ja ... wie heißt es doch, wenn man einen Zweig abbricht und die Blätter abreißt? Von Herzen mit Schmerzen, über alle Maßen.«	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	German “Ich liebe dich” explicitly realizes first-person singular experiencer ich with second-person target dich.
fontane-effi-briest-c9a7185a57602a96	fontane-effi-briest	de	ich euch liebe	»Da ist es doch besser so. Wie das nun wieder klingt. Du bist so sonderbar. Und daß du vorhin weintest. Hast du was auf deinem Herzen? Noch ist es Zeit. Liebst du Geert nicht?« »Warum soll ich ihn nicht lieben? Ich liebe Hulda, und ich liebe Bertha, und ich liebe Hertha. Und ich liebe auch den alten Niemeyer. Und daß ich euch liebe, davon spreche ich gar nicht erst. Ich liebe alle, die's gut mit mir meinen und gütig gegen mich sind und mich verwöhnen. Und Geert wird mich auch wohl verwöhnen. Natürlich auf seine Art. Er will mir ja schon Schmuck schenken in Venedig. Er hat keine Ahnung davon, daß ich mir nichts aus Schmuck mache. Ich klettere lieber, und ich schaukle mich lieber, und am liebsten immer in der Furcht, daß es irgendwo reißen oder brechen und ich niederstürzen könnte. Den Kopf wird es ja nicht gleich kosten.«	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The subordinate clause “daß ich euch liebe” explicitly realizes first-person singular experiencer “ich” loving second-person plural/formal target “euch”.
hamsun-pan-0ca06d8ebe15d3db	hamsun-pan	no	Jeg elsker dig	Det var ikke noget, svarte hun. Det lydde så underlig at Gud vilde lønne mig for det. Du sier slikt noget som .... Jeg elsker dig så!	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «Jeg elsker dig» explicitly realizes first-person singular experiencer «Jeg» loving the second-person target «dig».
hamsun-pan-79ee30c8ab8040e4	hamsun-pan	no	jeg elsker dig	Du gode, gode sjæl! utbryter jeg og trykker hende hæftig ind til mig. Jeg er sikker på at jeg forgår av kjærlighet til dig, jeg elsker dig mere og mere, tilslut blir du med mig når jeg reiser. Du skal bare se. Kunde du følge med mig	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «jeg elsker dig» explicitly realizes first-person singular experiencer «jeg» loving second-person target «dig».
hamsun-pan-8d02dd8f6f4cc486	hamsun-pan	no	jeg elsker dig	Jeg elsker tre ting, sier jeg så. Jeg elsker en kjærlighetsdrøm jeg hadde engang. jeg elsker dig og jeg elsker denne plet jord. Og hvad elsker du mest?	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «jeg elsker dig» explicitly realizes first-person singular experiencer «jeg» loving second-person target «dig».
hamsun-victoria-14724dfffdb48ab5	hamsun-victoria	no	jeg har elsket Dem	Jeg har ligget her på sengen og tænkt over de siste ord jeg sa til Dem. Det var i skogen den kvæld. Dengang tænkte jeg ikke at det skulde være mine siste ord, for så vilde jeg ha sagt farvel til Dem med det samme og takket Dem. Nu får jeg ikke se Dem mere, så jeg angrer nu på at jeg ikke fik kastet mig ned for Dem og kysset Deres sko og jorden som De gik på, og fik vist Dem hvor usigelig jeg har elsket Dem. Jeg har ligget her og ønsket både igår og idag at jeg ikke var sykere end at jeg kunde komme mig hjem igjen og gå i skogen og finde den plass vi sat på da De holdt begge mine hænder; for så kunde jeg lægge mig ned der og se om jeg ikke fandt sporet efter Dem og kysse al lyngen deromkring. Men jeg kan ikke komme hjem nu hvis jeg ikke muligens blir litt bedre som mama tror.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «jeg har elsket Dem» explicitly realizes first-person singular as experiencer and polite second-person «Dem» as the direct target of «elsket» (‘loved’).
hamsun-victoria-3fa9da6674c8bd2e	hamsun-victoria	no	jeg elsker Dem	De gik hver sin vei. Han stanset og vendte sig. Der gik hun nu. Han strakte hænderne ut og hvisket, sa ømme ord for sig selv: Jeg bærer ikke nag til Dem, nei nei det gjør jeg ikke; jeg elsker Dem endnu, elsker Dem ....	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «jeg elsker Dem endnu» explicitly realizes first-person singular experiencer «jeg» loving the second-person polite target «Dem».
hamsun-victoria-3fdcd3aed593bedb	hamsun-victoria	no	Jeg elsker Dem	e grepet sit glas og drukket. Skål, se på mig hvor pent jeg drikker .... Se forøvrig på en kvinde fra siden når hun drikker. Lat hende drikke av en kop, av et glas, av hvadsomhelst, men se på hende fra siden. Hun skaper sig så det er en gru. Hun spidser munden og dypper den ytterste rand av den ned i drikken og hun er fortvilet hvis man herunder lægger mærke til hendes hånd. Se i det hele tat ikke en kvinde på hånden. Hun utstår det ikke, hun kapitulerer. Hun begynder straks å rykke sin hånd til sig, å lægge den i en skjønnere og skjønnere stilling, altsammen for å skjule en rynke, en krokethet i fingrene eller en mindre velformet negl. Tilsist holder hun det ikke længer ut, men spør ute av sig selv: hvad ser De på? .... Hun hadde engang kysset ham, engang, en sommer. Det var så længe siden, Gud vet om det endog var sandt. Hvordan var det, sat de ikke på en bænk? De talte længe sammen og da de gik kom han hende så aldeles nær at han berørte hendes arm. Utenfor en entré kysset hun ham. Jeg elsker Dem! sa hun. .... Nu gik de forbi, de sat kanske endnu i lysthuset. Løitnanten vilde gi ham et slag på øret, sa han. Han hørte det så godt, han sov ikke, men han reiste sig heller ikke og trådte frem. En officers hånd, sa han. Javel, det var ham likegyldig ....	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian “Jeg elsker Dem” explicitly realizes first-person singular elsker ‘love’ with respectful second-person Dem as the target.
hamsun-victoria-4f6c4f26ac0c6d1e	hamsun-victoria	no	Jeg elsker Dem	Lat os ikke snakke mere om det. Jeg har sagt nok, jeg har sagt meget formeget og jeg gjør dem ondt nu. Jeg elsker Dem, Jeg løi ikke iforgårs og lyver ikke nu; men det er så meget som skiller os. Jeg holder meget av Dem, taler gjærne med Dem, heller med Dem end nogen anden, men.... Ja jeg tør ikke stå her længer, de kan se os fra vinduerne. Johannes, det er så mange grunde som De ikke kjender, så De skal ikke be mig mere om å si hvad jeg mener. Jeg har tænkt på det nat og dag; jeg mener hvad jeg har sagt. Men det blir umulig.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian “Jeg elsker Dem” explicitly realizes first-person singular experiencer (“Jeg”) loving the formal second-person target (“Dem”).
